artist,album,title,duration,playcount,rating,rating_interpretation
Mudhoney,Bite the Curb,03 - King Sandbox_[plixid.com].mp3,2:48,,0,not-rated
punktastic,,03 Laundromat Sensei (Tens),2:22,5,0,not-rated
Waxahatchee,Cerulean Salt,03 Lips and Limbs.mp3,2:38,3,0,not-rated
Mudhoney,Bite the Curb,04 - 13th Flor Opening_[plixid.com].mp3,2:22,,0,not-rated
Waxahatchee,Cerulean Salt,04 Blue Pt. II.mp3,2:19,2,0,not-rated
Waxahatchee,Cerulean Salt,05 Brother Bryan.mp3,2:36,2,0,not-rated
Mudhoney,Bite the Curb,05 - Living Wreck_[plixid.com].mp3,3:17,,0,not-rated
The Magnetic Fields,50 Song Memoir,'05: Never Again,3:19,,undefined,never-rated
Mudhoney,Bite the Curb,06 - Acetone_[plixid.com].mp3,3:32,,0,not-rated
Waxahatchee,Cerulean Salt,06 Coast to Coast.mp3,1:46,2,0,not-rated
The Magnetic Fields,50 Song Memoir,"'06: ""Quotes""",2:17,,undefined,never-rated
Mudhoney,Bite the Curb,07 - No End In Sight_[plixid.com].mp3,3:30,,0,not-rated
Waxahatchee,Cerulean Salt,07 Tangled Envisioning.mp3,2:27,,0,not-rated
Waxahatchee,Cerulean Salt,08 Misery Over Dispute.mp3,1:46,1,0,not-rated
Mudhoney,Bite the Curb,08 - Underide_[plixid.com].mp3,2:38,,0,not-rated
Bibio,Phantom Brickworks,9:13,7:03,1,undefined,never-rated
Mudhoney,Bite the Curb,09 - Fun And Games_[plixid.com].mp3,2:02,,0,not-rated
Waxahatchee,Cerulean Salt,09 Lively.mp3,2:32,,0,not-rated
Animal Collective,Strawberry Jam,#1,4:32,3,0,not-rated
Swearin',Swearin',1,1:04,,0,not-rated
BC Unidos,Otro Mundo Es Posible,"1, 2, 3 in French  (feat. Howlin' Pelle)",2:48,1,undefined,never-rated
Pearl Jam,Riot Act,1/2 Full,4:11,,0,not-rated
Remember Sports,Slow Buzz,The 1 Bad Man,2:15,2,undefined,never-rated
Jay Som,Everybody Works,1 Billion Dogs,2:44,2,undefined,never-rated
The Mountain Goats,The Life Of The World To Come,1 John 4:16,3:09,,0,not-rated
The Mountain Goats,The Life Of The World To Come,1 Samuel 15:23,4:06,,0,not-rated
dummy,bunny,1 yr,2:28,,0,not-rated
The Prettiots,Funs Cool,10/10 Would Chill Again,2:38,1,undefined,never-rated
Mudhoney,Bite the Curb,10 - Confusion_[plixid.com].mp3,2:33,,0,not-rated
Bon Iver,"22, A Million",10 d E A T h b R E a s T ⚄ ⚄,2:24,5,undefined,never-rated
Tapes 'n Tapes,The Loon,10 Gallon Ascots,5:02,,0,not-rated
La Sera,Hour Of The Dawn,10 Headed Goat Wizard,2:38,21,0,not-rated
Beach House,Teen Dream,10 Mile Stereo,5:06,1,0,not-rated
Tennis,Yours Conditionally,10 Minutes 10 Years,3:11,,undefined,never-rated
Waxahatchee,Cerulean Salt,10 Waiting.mp3,1:41,1,0,not-rated
Mates Of State,Our Constant Concern,10 Years Later,3:08,,0,not-rated
Tennis,Small Sound (EP),100 Lovers,2:51,1,0,not-rated
Seaholm,Stay Young Forever,100 Meter Dash,2:26,,undefined,never-rated
Sammus,Pieces In Space,100 Percent (feat. Latasha Alcindor aka LA),4:07,1,undefined,never-rated
Vagabon,Infinite Worlds,100 Years,2:08,2,undefined,never-rated
Mogwai,Every Country's Sun,1000 Foot Face,4:31,,undefined,never-rated
Laura Veirs,case/lang/veirs,"1,000 Miles Away",2:57,6,undefined,never-rated
Aesop Rock,Skelethon,"1,000 O'Clock",3:58,,0,not-rated
Superchunk,Come Pick Me Up,1000 Pounds,3:09,,0,not-rated
Moonface,With Siinai: Heartbreaking Bravery,"10,000 Scorpions",2:10,3,0,not-rated
The Magnetic Fields,The Wayward Bus/Distant Plastic Trees,"100,000 Fireflies",3:20,,0,not-rated
Tegan And Sara,Love You to Death,100x,3:02,1,undefined,never-rated
The Pains Of Being Pure At Heart,Higher Than The Stars,103,2:04,,0,not-rated
Sammus,Pieces In Space,1080p (feat. Jean Grae),4:42,,undefined,never-rated
Guards,In Guards We Trust,1&1,5:18,,0,not-rated
Martha,Blisters In The Pit Of My Heart,"11:45, Legless In Brandon",3:07,1,undefined,never-rated
punktastic,,11 Run - By Fruiting,2:04,,0,not-rated
Waxahatchee,Cerulean Salt,11 Swan Dive.mp3,3:14,2,0,not-rated
Mudhoney,Bite the Curb,11 - When In Rome_[plixid.com].mp3,4:25,,0,not-rated
The Strokes,Room On Fire,12:51,2:34,,0,not-rated
The Front Bottoms,Rose,12 Feet Deep,3:45,2,undefined,never-rated
Mudhoney,Bite the Curb,12 - I Hate The Bloody Queen_[plixid.com].mp3,2:16,,0,not-rated
Waxahatchee,Cerulean Salt,12 Peace and Quiet.mp3,2:37,,0,not-rated
Japanese Breakfast,Soft Sounds from Another Planet,12 Steps,2:37,5,undefined,never-rated
Japanese Breakfast,Soft Sounds From Another Planet,12 Steps,2:38,,0,not-rated
The Magnetic Fields,50 Song Memoir,'12: You Can Never Go Back to New York,3:12,,undefined,never-rated
Elvis Perkins In Dearland,Elvis Perkins In Dearland,123 Goodbye,3:49,,0,not-rated
Choji Moji,It's a Hit (A Piano Tribute to Rilo Kiley),13,3:55,3,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'13: Big Enough for Both of Us,3:03,1,undefined,never-rated
Waxahatchee,Cerulean Salt,13 You're Damaged.mp3,3:33,,0,not-rated
The Walkmen,Bows + Arrows,138th Street,3:00,,0,not-rated
Brittany Howard,Jaime,13th Century Metal,4:47,3,undefined,never-rated
WU LYF,Go Tell Fire To The Mountain,14 Crowns For Me & Your Friends,4:42,,0,not-rated
Dávila 666,"Puñales, píldoras y otras formas de entretenerse",15,8:01,,0,not-rated
Rilo Kiley,Under The Blacklight,15,2:50,1,undefined,never-rated
Rilo Kiley,Under The Blacklight,15,2:50,,0,not-rated
Jason Lytle,Arthur King Presents Jason Lytle: NYLONANDJUNO,15 Items Or Lesson You,5:18,1,undefined,never-rated
The Strokes,First Impressions Of Earth,15 Minutes,4:34,,0,not-rated
Houndmouth,Little Neon Limelight,15 Years,3:07,1,undefined,never-rated
Angry Angles,Angry Angles,The 15th,3:07,1,undefined,never-rated
Caves,Always Why,16,2:08,4,undefined,never-rated
The Decemberists,Picaresque,16 Military Wives,4:53,,0,not-rated
Tom Waits,Swordfishtrombones,16 Shells From A Thirty-Ought-Six,4:32,,0,not-rated
Cool American,"Better Luck Next Year, Vol 3",17,4:56,2,5,thumbs-up
The Greeting Committee,17,17,3:39,67,undefined,never-rated
The Greeting Committee,This Is It,17,3:39,18,undefined,never-rated
John K. Samson,Winter Wheat,17th Street Treatment Centre,2:29,6,undefined,never-rated
The Prettiots,Funs Cool,18 Wheeler,2:46,2,undefined,never-rated
tricot,3,"18,19",4:01,1,undefined,never-rated
Radiator Hospital,Torch Song,181935,2:16,1,undefined,never-rated
Versing,Nude Descending,1896,4:33,,undefined,never-rated
Gorillaz,Gorillaz,19-2000,3:31,,0,not-rated
The Tallest Man On Earth,There's No Leaving Now,1904,3:59,,0,not-rated
The Fiery Furnaces,Blueberry Boat,1917,4:52,,0,not-rated
Car Seat Headrest,Teens Of Denial,1937 State Park,4:00,23,undefined,never-rated
The Sidekicks,Awkward Breeds,1940's Fighter Jet,2:47,,undefined,never-rated
Danny Norbury,Light in August,1983,3:34,4,undefined,never-rated
Crystal Castles,Crystal Castles,1991,1:53,,0,not-rated
Hovvdy,Heavy Lifter,1999,2:58,1,undefined,never-rated
Lawrence Principe,Science And Religion [Disc 1],1A. Science And Religion,2:29,,0,not-rated
Sincere Engineer,Rhombithian,1K Rats,2:31,46,undefined,never-rated
Noah and The Whale,"Peaceful, The World Lays Me Down",2 Atoms In A Molecule,2:05,5,0,not-rated
The Russian Futurists,"Me, Myself and Rye",2 Dots On A Map,4:19,2,0,not-rated
Cymbals Eat Guitars,LOSE,2 Hip Soul,6:19,2,0,not-rated
Lucinda Williams,Car Wheels On A Gravel Road,2 Kool 2 Be 4-Gotten,4:42,11,undefined,never-rated
The Cure,Disintegration (Deluxe Edition),2 Late [(Alt. Version)-Band Demo (instrumental)-09/88],2:52,1,undefined,never-rated
Mogwai,Rock Action,2 Rights Make 1 Wrong,9:29,2,0,not-rated
Lightning Bolt,Wonderful Rainbow,2 Towers,7:07,,0,not-rated
CityCop,Nesh,20/20,3:29,1,undefined,never-rated
Gladie,Everyone Is Talking but You,20 / 20,3:47,3,undefined,never-rated
Mogwai,Every Country's Sun,20 Size,4:44,,undefined,never-rated
"Perspective, a Lovely Hand to Hold",Autonomy,2003,2:30,12,5,thumbs-up
Shin Guard,2020,2007,3:51,,undefined,never-rated
Los Campesinos!,"Hold On Now, Youngster","2007, The Year Punk Broke (My Heart)",4:44,3,0,not-rated
Kitten Forever,7 Hearts,200x,1:39,3,5,thumbs-up
Adult Mom,Momentary Lapse of Happily,2012,3:05,1,undefined,never-rated
Sunflower Bean,Human Ceremony,2013,3:31,2,undefined,never-rated
Vampire Weekend,Father of the Bride,2021,1:38,2,undefined,never-rated
Squarehead,RESPECT,2025,3:37,6,0,not-rated
Japanese Breakfast,"Polyvinyl 4-Track Singles Series, Vol. 3",2042,3:20,1,undefined,never-rated
of Montreal,UR FUN,20th Century Schizofriendic Revengoid-man,3:23,,undefined,never-rated
Bon Iver,"22, A Million",21 M◊◊N WATER,3:08,3,undefined,never-rated
Bon Iver,"22, A Million",22 (OVER S∞∞N),2:48,5,undefined,never-rated
Low Roar,ross.,222,3:50,1,undefined,never-rated
Yeasayer,Erotic Reruns,24-Hour Hateful Live,2:51,,undefined,never-rated
Origami Angel,Broke Minecraft,24 Hr Delivery / KD MVP,4:33,2,undefined,never-rated
The Courtneys,The Courtneys II,25,3:19,2,undefined,never-rated
Oh Rose,While My Father Sleeps,"25, Alive",2:43,2,undefined,never-rated
Paramore,After Laughter,26,3:41,7,undefined,never-rated
Bon Iver,"22, A Million",29 #Strafford APTS,4:05,3,undefined,never-rated
Bigger Better Sun,Comfort Foods,2k,4:31,3,undefined,never-rated
Ted Leo and The Pharmacists,Hearts Of Oak,"2nd Ave, 11 A.M.",3:32,,0,not-rated
Cloud District,"Don't Give Up, Skeleton",2sad2swim,3:24,5,undefined,never-rated
Pllush,Stranger to the Pain,3:45,4:37,2,undefined,never-rated
Soccer Mommy,Collection,3 AM at a Party,2:33,7,undefined,never-rated
Yo La Tengo,President Yo La Tengo/New Wave Hot Dogs,3 Blocks From Groove Street,2:24,,0,not-rated
Modest Mouse,Everywhere And His Nasty Parlour Tricks [EP],"3 Inch Horses, Two Faced Monsters",4:14,,0,not-rated
Caves,Betterment,<3 Koala,2:40,34,5,thumbs-up
Avey Tare,Down There,3 Umbrellas,2:43,,0,not-rated
Superchunk,No Pocky For Kitty,30 Xtra,2:31,,0,not-rated
Lightning Bolt,Wonderful Rainbow,"30,000 Monkies",3:49,,0,not-rated
Danny's Dead,Perfume,319,2:31,1,undefined,never-rated
Bon Iver,"22, A Million",33 “GOD”,3:33,3,undefined,never-rated
Aesop Rock,None Shall Pass,39 Thieves,4:15,,0,not-rated
Smith Westerns,Soft Will,3AM Spiritual,4:23,3,0,not-rated
Modest Mouse,The Moon & Antarctica [Bonus Tracks],3rd Planet,4:00,1,0,not-rated
Modest Mouse,The Moon & Antarctica [Bonus Tracks],3rd Planet [BBC Radio Session],4:01,1,0,not-rated
Dinner,"Three EPs, 2012-2014",3rd Presence,3:43,,0,not-rated
ANOHNI,HOPELESSNESS,4 Degrees,3:51,4,undefined,never-rated
Smalltown America,,4 Or 5 Magicians - Forever On The Edge (2009),3:39,3,0,not-rated
Glocca Morra,Just Married,40 Hugger / Get Fucked,2:04,3,0,not-rated
The Shins,Port Of Morrow,40 Mark Strasse,4:38,,0,not-rated
The Shins,Port Of Morrow,40 Mark Strasse,4:38,,undefined,never-rated
Blackalicious,Blazing Arrow,4000 Miles,4:35,,0,not-rated
Death Cab For Cutie,We Have The Facts And We're Voting Yes,405,3:37,,0,not-rated
Bad Books,II,42,2:24,,0,not-rated
The Magnetic Fields,The Wayward Bus/Distant Plastic Trees,"4'33""",4:32,,0,not-rated
Bon Iver,"22, A Million",____45_____,2:46,2,undefined,never-rated
The Brave Little Abacus,Okumay,"45 Minutes from ""Somewhere Out",4:34,46,0,not-rated
Cloud District,"Don't Give Up, Skeleton",48,5:48,3,undefined,never-rated
LITE,Multiple,4mg Warmth,3:59,1,undefined,never-rated
MGMT,Oracular Spectacular,4th Dimensional Transition,3:59,,0,not-rated
Cymbals Eat Guitars,Pretty Years,"4th of July, Philadelphia (Sandy)",3:29,5,undefined,never-rated
Gorillaz,Gorillaz,4-May,2:43,,0,not-rated
Modest Mouse,Sad Sappy Sucker,5-4-3-2-1 Lisp Off,0:31,15,0,not-rated
Pavement,"Crooked Rain, Crooked Rain",5-4=Unity,2:10,1,0,not-rated
Los Campesinos!,Sick Scenes,5 Flucloxacillin,3:09,1,undefined,never-rated
Michael Andrews,Me and You and Everyone We Know (Original Motion Picture Soundtrack),5 On A Joyride,3:33,2,undefined,never-rated
You Say Party! We Say Die!,Lose All Time,5 Year Plan,3:19,,0,not-rated
THICK,5 Years Behind,5 Years Behind,3:04,1,undefined,never-rated
Noah and The Whale,"Peaceful, The World Lays Me Down",5 Years Time,3:36,,0,not-rated
Grandaddy,Just Like The Fambly Cat,50%,1:03,,0,not-rated
Pet Symmetry,Vision,50%,3:09,6,undefined,never-rated
Plush,SPORTS / Plush - Split EP,50/50 20/20,6:23,1,undefined,never-rated
Weaves,Wide Open,#53,4:00,12,undefined,never-rated
Chastity Belt,I Used to Spend So Much Time Alone,5am,5:40,23,5,thumbs-up
BC Unidos,Otro Mundo Es Posible,The 5th Way,3:14,,undefined,never-rated
Guided By Voices,August By Cake,5° on the Inside,2:28,2,undefined,never-rated
Grouper,The Man Who Died in His Boat,6,1:50,7,0,not-rated
dodie,You - EP,10-Jun,3:05,3,undefined,never-rated
Otoboke Beaver,ITEKOMA HITS,6 day working week is a pain,2:47,,undefined,never-rated
Beach Bunny,Prom Queen,6 Weeks,4:01,11,undefined,never-rated
Gogol Bordello,Gypsy Punks: Underdog World Strike,60 Revolutions,2:59,,0,not-rated
Pkew Pkew Pkew,Optimal Lifestyles,65 Nickels,2:06,1,undefined,never-rated
Bon Iver,"22, A Million",666 ʇ,4:12,3,undefined,never-rated
Neon Indian,Psychic Chasms,6669 (I Don't Know If You Know ),3:21,,0,not-rated
The Magnetic Fields,50 Song Memoir,'68: A Cat Called Dionysus,2:46,1,undefined,never-rated
Aesop Rock,Float,6B Panorama,2:03,6,5,thumbs-up
Broken Social Scene,Broken Social Scene,7/4 (Shoreline),4:54,,0,not-rated
R.E.M.,Reckoning,7 Chinese Bros.,4:19,2,0,not-rated
Acid House Kings,Sing Along With Acid House Kings,7 Days,3:09,4,0,not-rated
The Apples In Stereo,New Magnetic Wonder,7 Stars,3:46,,0,not-rated
Neon Indian,Psychic Chasms,7000 (Reprise),0:57,,0,not-rated
The Magnetic Fields,50 Song Memoir,'71: I Think I'll Make Another World,2:56,1,undefined,never-rated
Bon Iver,"22, A Million",715 - CR∑∑KS,2:12,4,undefined,never-rated
Coping,NOPE,#72 East,2:41,6,0,not-rated
The Magnetic Fields,50 Song Memoir,'74: No,2:56,1,undefined,never-rated
The Elected,Me First,7th September 2003,3:56,2,0,not-rated
The Mae Shi,The Mae Shi Mixtape,7xx7,2:03,1,0,not-rated
Laura Stevenson And The Cans,Sit Resist,8:08,3:51,,0,not-rated
Super Whatevr,Never Nothing,8:51 AM (Saturday Morning Congestion Blues),1:59,,undefined,never-rated
Waxahatchee,Out in the Storm (Deluxe Version),8 Ball,2:49,10,undefined,never-rated
Waxahatchee,Out in the Storm (Deluxe Version),8 Ball,2:50,,0,not-rated
Waxahatchee,Out in the Storm (Deluxe Version),8 Ball (Demo),2:49,9,5,thumbs-up
Waxahatchee,Out in the Storm (Demos),8 Ball (Demo),2:47,,0,not-rated
Bon Iver,"22, A Million",8 (circle),5:09,3,undefined,never-rated
Jeff Rosenstock,I Look Like Shit,80's Through the 50's,3:43,7,0,not-rated
Deerhoof,Friend Opportunity,81,3:04,,0,not-rated
Joanna Newsom,Have One On Me,'81,3:51,3,0,not-rated
TRASH,TRASH,81,3:50,1,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'81: How to Play the Synthesizer,3:06,1,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'83: Foxx and I,2:43,1,undefined,never-rated
Latterman,"Turn Up The Punk, We'll Be Singing",83% Off Your Self Esteem,2:56,,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'85: Why I Am Not a Teenager,3:07,5,5,thumbs-up
The Magnetic Fields,50 Song Memoir,'86: How I Failed Ethics,2:58,3,undefined,never-rated
Yo La Tengo,May I Sing With Me,86-Second Blowout,1:32,,0,not-rated
Bent Shapes,Wolves of Want,86'd In '03,2:07,7,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'88: Ethan Frome,2:23,,undefined,never-rated
Aesop Rock,Labor Days,9-5ers Anthem,4:38,12,5,thumbs-up
Dent May,Across The Multiverse,90210,3:16,1,undefined,never-rated
OK Go,Oh No,9027 Km,34:37:00,,0,not-rated
"Tyler, The Creator",Flower Boy,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4:15,2,undefined,never-rated
The Magnetic Fields,50 Song Memoir,'92: Weird Diseases,3:10,,undefined,never-rated
Swans,The Seer,93 Ave. Blues,5:21,,0,not-rated
The Magnetic Fields,50 Song Memoir,'93: Me and Fred and Dave and Ted,3:08,,undefined,never-rated
The Joy Formidable,A Balloon Called Moaning,9669,2:54,1,0,not-rated
Tom Waits,Rain Dogs,9th & Hennepin,1:57,,0,not-rated
The Sidekicks,Awkward Breeds,The 9th Piece,2:50,,undefined,never-rated
Waxahatchee,Ivy Tripp,<,3:20,3,undefined,never-rated
Waxahatchee,Waxahatchee Katie Crutchfield 15 Ivy Tripp (Merge Media Ltd),<,3:20,,0,not-rated
Greys,Age Hasn't Spoiled You,A-440,1:18,8,undefined,never-rated
Sleigh Bells,Treats,A/B Machines,3:35,2,0,not-rated
Vampire Weekend,Vampire Weekend,A-Punk,2:18,,0,not-rated
Palehound,Black Friday,Aaron,3:38,16,undefined,never-rated
The American Analog Set,An Eclectic Mix Of Music That You May Or May Not Like ( But Sunny Does),Aaron & Maria,3:14,,0,not-rated
Diet Cig,"Polyvinyl 4-Track Singles Series, Vol. 3",Aaron's Farty,3:25,1,undefined,never-rated
The Mountain Goats,Goths (Deluxe Version),Abandoned Flesh,3:41,3,undefined,never-rated
The Flaming Lips,Clouds Taste Metallic,The Abandoned Hospital Ship,3:39,,0,not-rated
LEYA,Flood Dream,ABBA,4:34,1,undefined,never-rated
The Pipettes,We Are The Pipettes,ABC,2:08,2,0,not-rated
Cults,Cults,Abducted,2:53,,0,not-rated
The Decemberists,The Hazards Of Love,The Abduction Of Margaret,2:07,,0,not-rated
Dryjacket,For Posterity,Abe LinkedIn,1:59,5,undefined,never-rated
the national,alligator,abel,3:38,,0,not-rated
The Mars Volta,The Bedlam In Goliath,Aberinkula,5:45,,0,not-rated
School Of Seven Bells,SVIIB,Ablaze,5:09,7,undefined,never-rated
Islands,Arm's Way,Abominable Snow,4:36,,0,not-rated
Mommy Long Legs,Try Your Best,Abortion,1:27,1,undefined,never-rated
Iron & Wine,Beast Epic,About a Bruise,3:11,1,undefined,never-rated
Grizzly Bear,Veckatimest,About Face,3:21,,0,not-rated
Yeule,Pathos,About Her,5:19,,undefined,never-rated
Bigger Better Sun,Comfort Foods,About Patterns,4:35,3,undefined,never-rated
Rilo Kiley and The Watson Twins,Rkives,About The Moon,3:09,4,0,not-rated
Dirty Projectors,Swing Lo Magellan,About To Die,3:59,,0,not-rated
Margo Price,Midwest Farmer's Daughter,About to Find Out,3:12,9,undefined,never-rated
Throw Me The Statue,Moonbeams,About To Walk,3:16,6,0,not-rated
The Jesus & Mary Chain,Darklands,About You,2:31,,0,not-rated
The Bravery,The Sun And The Moon,Above And Below,3:31,,0,not-rated
Emancipator,Baralku,Abracadabra,2:31,,undefined,never-rated
José González,In Our Nature,Abram,1:49,,0,not-rated
The Joy Formidable,Aaarth,Absence,3:29,1,undefined,never-rated
Rilo Kiley,More Adventurous,The Absence Of God,3:55,,0,not-rated
Rilo Kiley,More Adventurous (U.S. Release),The Absence Of God,3:54,11,undefined,never-rated
Guided By Voices,August By Cake,Absent the Man,1:36,2,undefined,never-rated
Sun Airway,Heraldic Black Cherry,Absolu,0:16,,undefined,never-rated
Yellow Magic Orchestra,Solid State Survivor,Absolute Ego Dance,4:37,1,undefined,never-rated
The Mountain Goats,All Hail West Texas,Absolute Lithops Effect,3:08,1,0,not-rated
Radiator Hospital,Play the Song You Like,Absolutely Positive,3:06,2,undefined,never-rated
Adventures,Supersonic Home,"Absolution, Warmth Requited",2:57,38,0,not-rated
Adventures,Supersonic Home,"Absolution, Warmth Requited",2:57,4,undefined,never-rated
King Gizzard & The Lizard Wizard,Fishing For Fishies,Acarine,5:24,5,undefined,never-rated
Deerhoof,The Magic,Acceptance Speech,3:00,,undefined,never-rated
Ava Luna,Moon 2,Accessible,2:57,1,undefined,never-rated
Mothers,When You Walk A Long Distance You Are Tired (Deluxe Edition),Accessory Cloud,4:29,5,undefined,never-rated
Jenny Hval,The Practice of Love,Accident (feat. Laura Jean),4:10,1,undefined,never-rated
Jawbreaker,Dear You,Accident Prone,6:13,,0,not-rated
Rilo Kiley,More Adventurous,Accidental Deth,4:26,,0,not-rated
Owen,Owen,Accidentally,6:17,5,0,not-rated
Rilo Kiley,More Adventurous (U.S. Release),Accidntel Deth,4:24,1,undefined,never-rated
Nothing,Tired of Tomorrow (Deluxe Version),A.C.D. (Abcessive Compulsive Disorder),3:39,,undefined,never-rated
Trevor Powers,Mulberry Violence,Ache,3:10,1,undefined,never-rated
Weakened Friends,Common Blah,Aches,3:21,2,undefined,never-rated
Posture & the Grizzly,I Am Satan,Acid Bomb,2:35,4,undefined,never-rated
Deftones,Gore,Acid Hologram,4:05,1,undefined,never-rated
Zt,What Are Stitches To A Tough Guy,Acid Test(Master2),3:14,,0,not-rated
Jenny Lewis,Acid Tongue,Acid Tongue,3:50,,0,not-rated
Fanafarlo,Reservoir Bonus Disc,Acoemeti,1:31,,0,not-rated
The Dodos,Time To Die,Acorn Factory,4:03,,0,not-rated
King Gizzard & The Lizard Wizard,Murder Of The Universe,The Acrid Corpse,1:00,1,undefined,never-rated
Electric Light Orchestra,Out Of The Blue,Across The Border,3:54,,0,not-rated
Dent May,Across The Multiverse,Across The Multiverse (feat. Frankie Cosmos),3:04,1,undefined,never-rated
Weezer,Pinkerton,Across The Sea,4:32,,undefined,never-rated
Why?,Elephant Eyelash,Act Five,3:20,4,0,not-rated
Belle and Sebastian,The Life Pursuit,Act Of The Apostle,2:56,,0,not-rated
Belle and Sebastian,The Life Pursuit,Act Of The Apostle II,4:21,1,0,not-rated
We Were Promised Jetpacks,In The Pit Of The Stomach,Act On Impulse,5:30,,0,not-rated
Sebadoh,Act Surprised,act surprised,3:11,,undefined,never-rated
Superchunk,Here's To Shutting Up,Act Surprised,3:58,,0,not-rated
Ariel Pink,Dedicated To Bobby Jameson,Acting (feat. DāM-FunK),4:31,3,undefined,never-rated
The Get Up Kids,Something To Write Home About,Action And Action,4:06,2,0,not-rated
Pissed Jeans,Why Love Now,Activia,4:27,2,undefined,never-rated
Sun Airway,Nocturne Of Exploded Crystal Chandelier,Actors,3:36,,0,not-rated
Midlake,The Courage Of Others,Acts Of Man,2:58,,0,not-rated
The National,Boxer,Ada,4:04,,0,not-rated
The National,Boxer,Ada,4:03,,0,not-rated
The Body,No One Deserves Happiness,Adamah,3:59,,undefined,never-rated
Clap Your Hands Say Yeah,Hysterical,Adam's Plane,7:19,,0,not-rated
Katie Ellen,Still Life,Adaptation of Para Todos,5:45,7,undefined,never-rated
Violent Femmes,Violent Femmes,Add It Up,4:43,,0,not-rated
The Coathangers,Suck My Shirt,Adderall,3:42,1,0,not-rated
Lizzy Farrall,Bruise,Addict,3:12,1,undefined,never-rated
Turnstile,Nonstop Feeling,Addicted,1:13,3,undefined,never-rated
Turnstile,Nonstop Feeling,Addicted,1:13,2,0,not-rated
Hemlock Ernst,Back At The House,Addicted Youth,3:47,,undefined,never-rated
Lucy Dacus,Historian,Addictions,3:24,4,undefined,never-rated
Sneaks,Highway Hypnosis,Addis,1:38,,undefined,never-rated
Grizzly Bear,Shields,Adelma,1:03,,0,not-rated
Sun Kil Moon,Admiral Fell Promises,Admiral Fell Promises,3:51,,0,not-rated
Twerps,Range Anxiety,Adrenaline,3:12,,0,not-rated
Japandroids,Celebration Rock,Adrenaline Nightshift,4:26,1,0,not-rated
Kississippi,Sunset Blush,Adrift,3:49,1,undefined,never-rated
Into It. Over It.,Standards,Adult Contempt,3:36,2,undefined,never-rated
Alvvays,Alvvays,Adult Diversion,3:27,,0,not-rated
School of Language,45,Adult in the Room,2:48,1,undefined,never-rated
Pkew Pkew Pkew,Optimal Lifestyles,Adult Party,2:57,,undefined,never-rated
Beach Bunny,Prom Queen,Adulting,3:49,5,undefined,never-rated
Perfect Pussy,Say Yes to Love,Advance Upon the Real,5:03,,0,not-rated
"Football, etc.",Corner,Advantage,2:52,,undefined,never-rated
Be Your Own Pet,Be Your Own Pet,Adventure,2:33,3,0,not-rated
Kal Marks,Universal Care,Adventure,4:07,1,undefined,never-rated
The Greatest Bits,Kingdom Hearts,An Adventure In Atlantica,2:09,1,undefined,never-rated
The New Pornographers,Challengers,Adventures In Solitude,4:16,,0,not-rated
