song_id,artist,album,title,duration,playcount,rating,rating_interpretation
133,Aesop Rock,None Shall Pass,39 Thieves,4:15,,0,not-rated
134,Smith Westerns,Soft Will,3AM Spiritual,4:23,3.0,0,not-rated
135,Modest Mouse,The Moon & Antarctica [Bonus Tracks],3rd Planet,4:00,1.0,0,not-rated
136,Modest Mouse,The Moon & Antarctica [Bonus Tracks],3rd Planet [BBC Radio Session],4:01,1.0,0,not-rated
137,Dinner,"Three EPs, 2012-2014",3rd Presence,3:43,,0,not-rated
138,ANOHNI,HOPELESSNESS,4 Degrees,3:51,4.0,undefined,never-rated
139,Smalltown America,,4 Or 5 Magicians - Forever On The Edge (2009),3:39,3.0,0,not-rated
140,Glocca Morra,Just Married,40 Hugger / Get Fucked,2:04,3.0,0,not-rated
141,The Shins,Port Of Morrow,40 Mark Strasse,4:38,,0,not-rated
142,Blackalicious,Blazing Arrow,4000 Miles,4:35,,0,not-rated
143,Death Cab For Cutie,We Have The Facts And We're Voting Yes,405,3:37,,0,not-rated
144,Bad Books,II,42,2:24,,0,not-rated
145,The Magnetic Fields,The Wayward Bus/Distant Plastic Trees,"4'33""",4:32,,0,not-rated
146,Bon Iver,"22, A Million",____45_____,2:46,2.0,undefined,never-rated
147,The Brave Little Abacus,Okumay,"45 Minutes from ""Somewhere Out",4:34,46.0,0,not-rated
148,Cloud District,"Don't Give Up, Skeleton",48,5:48,3.0,undefined,never-rated
149,LITE,Multiple,4mg Warmth,3:59,1.0,undefined,never-rated
150,MGMT,Oracular Spectacular,4th Dimensional Transition,3:59,,0,not-rated
151,Cymbals Eat Guitars,Pretty Years,"4th of July, Philadelphia (Sandy)",3:29,5.0,undefined,never-rated
152,Gorillaz,Gorillaz,4-May,2:43,,0,not-rated
153,Modest Mouse,Sad Sappy Sucker,5-4-3-2-1 Lisp Off,0:31,15.0,0,not-rated
154,Pavement,"Crooked Rain, Crooked Rain",5-4=Unity,2:10,1.0,0,not-rated
155,Los Campesinos!,Sick Scenes,5 Flucloxacillin,3:09,1.0,undefined,never-rated
156,Michael Andrews,Me and You and Everyone We Know (Original Motion Picture Soundtrack),5 On A Joyride,3:33,2.0,undefined,never-rated
157,You Say Party! We Say Die!,Lose All Time,5 Year Plan,3:19,,0,not-rated
158,THICK,5 Years Behind,5 Years Behind,3:04,1.0,undefined,never-rated
159,Noah and The Whale,"Peaceful, The World Lays Me Down",5 Years Time,3:36,,0,not-rated
160,Grandaddy,Just Like The Fambly Cat,50%,1:03,,0,not-rated
161,Plush,SPORTS / Plush - Split EP,50/50 20/20,6:23,1.0,undefined,never-rated
162,Weaves,Wide Open,#53,4:00,12.0,undefined,never-rated
163,Chastity Belt,I Used to Spend So Much Time Alone,5am,5:40,23.0,5,thumbs-up
164,BC Unidos,Otro Mundo Es Posible,The 5th Way,3:14,,undefined,never-rated
165,Guided By Voices,August By Cake,5° on the Inside,2:28,2.0,undefined,never-rated
166,Grouper,The Man Who Died in His Boat,6,1:50,7.0,0,not-rated
167,dodie,You - EP,10-Jun,3:05,3.0,undefined,never-rated
168,Otoboke Beaver,ITEKOMA HITS,6 day working week is a pain,2:47,,undefined,never-rated
169,Beach Bunny,Prom Queen,6 Weeks,4:01,11.0,undefined,never-rated
170,Gogol Bordello,Gypsy Punks: Underdog World Strike,60 Revolutions,2:59,,0,not-rated
171,Pkew Pkew Pkew,Optimal Lifestyles,65 Nickels,2:06,1.0,undefined,never-rated
172,Bon Iver,"22, A Million",666 ʇ,4:12,3.0,undefined,never-rated
173,Neon Indian,Psychic Chasms,6669 (I Don't Know If You Know ),3:21,,0,not-rated
174,The Magnetic Fields,50 Song Memoir,'68: A Cat Called Dionysus,2:46,1.0,undefined,never-rated
175,Aesop Rock,Float,6B Panorama,2:03,6.0,5,thumbs-up
176,Broken Social Scene,Broken Social Scene,7/4 (Shoreline),4:54,,0,not-rated
177,R.E.M.,Reckoning,7 Chinese Bros.,4:19,2.0,0,not-rated
178,Acid House Kings,Sing Along With Acid House Kings,7 Days,3:09,4.0,0,not-rated
179,The Apples In Stereo,New Magnetic Wonder,7 Stars,3:46,,0,not-rated
180,Neon Indian,Psychic Chasms,7000 (Reprise),0:57,,0,not-rated
181,The Magnetic Fields,50 Song Memoir,'71: I Think I'll Make Another World,2:56,1.0,undefined,never-rated
182,Bon Iver,"22, A Million",715 - CR∑∑KS,2:12,4.0,undefined,never-rated
183,Coping,NOPE,#72 East,2:41,6.0,0,not-rated
184,The Magnetic Fields,50 Song Memoir,'74: No,2:56,1.0,undefined,never-rated
185,The Elected,Me First,7th September 2003,3:56,2.0,0,not-rated
186,The Mae Shi,The Mae Shi Mixtape,7xx7,2:03,1.0,0,not-rated
187,Laura Stevenson And The Cans,Sit Resist,8:08,3:51,,0,not-rated
188,Super Whatevr,Never Nothing,8:51 AM (Saturday Morning Congestion Blues),1:59,,undefined,never-rated
189,Waxahatchee,Out in the Storm (Deluxe Version),8 Ball,2:49,10.0,undefined,never-rated
190,Waxahatchee,Out in the Storm (Deluxe Version),8 Ball (Demo),2:49,9.0,5,thumbs-up
191,Bon Iver,"22, A Million",8 (circle),5:09,3.0,undefined,never-rated
192,Jeff Rosenstock,I Look Like Shit,80's Through the 50's,3:43,7.0,0,not-rated
193,Deerhoof,Friend Opportunity,81,3:04,,0,not-rated
194,Joanna Newsom,Have One On Me,'81,3:51,3.0,0,not-rated
195,The Magnetic Fields,50 Song Memoir,'81: How to Play the Synthesizer,3:06,1.0,undefined,never-rated
196,The Magnetic Fields,50 Song Memoir,'83: Foxx and I,2:43,1.0,undefined,never-rated
197,Latterman,"Turn Up The Punk, We'll Be Singing",83% Off Your Self Esteem,2:56,,undefined,never-rated
198,The Magnetic Fields,50 Song Memoir,'85: Why I Am Not a Teenager,3:07,5.0,5,thumbs-up
199,The Magnetic Fields,50 Song Memoir,'86: How I Failed Ethics,2:58,3.0,undefined,never-rated
200,Yo La Tengo,May I Sing With Me,86-Second Blowout,1:32,,0,not-rated
201,Bent Shapes,Wolves of Want,86'd In '03,2:07,7.0,undefined,never-rated
202,The Magnetic Fields,50 Song Memoir,'88: Ethan Frome,2:23,,undefined,never-rated
203,Aesop Rock,Labor Days,9-5ers Anthem,4:38,12.0,5,thumbs-up
204,Dent May,Across The Multiverse,90210,3:16,1.0,undefined,never-rated
205,OK Go,Oh No,9027 Km,34:37:00,,0,not-rated
206,"Tyler, The Creator",Flower Boy,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4:15,2.0,undefined,never-rated
207,The Magnetic Fields,50 Song Memoir,'92: Weird Diseases,3:10,,undefined,never-rated
208,Swans,The Seer,93 Ave. Blues,5:21,,0,not-rated
209,The Magnetic Fields,50 Song Memoir,'93: Me and Fred and Dave and Ted,3:08,,undefined,never-rated
210,The Joy Formidable,A Balloon Called Moaning,9669,2:54,1.0,0,not-rated
211,Tom Waits,Rain Dogs,9th & Hennepin,1:57,,0,not-rated
212,The Sidekicks,Awkward Breeds,The 9th Piece,2:50,,undefined,never-rated
213,Waxahatchee,Ivy Tripp,<,3:20,3.0,undefined,never-rated
214,Greys,Age Hasn't Spoiled You,A-440,1:18,8.0,undefined,never-rated
215,Sleigh Bells,Treats,A/B Machines,3:35,2.0,0,not-rated
216,Vampire Weekend,Vampire Weekend,A-Punk,2:18,,0,not-rated
217,Palehound,Black Friday,Aaron,3:38,16.0,undefined,never-rated
218,The American Analog Set,An Eclectic Mix Of Music That You May Or May Not Like ( But Sunny Does),Aaron & Maria,3:14,,0,not-rated
219,Diet Cig,"Polyvinyl 4-Track Singles Series, Vol. 3",Aaron's Farty,3:25,1.0,undefined,never-rated
220,The Mountain Goats,Goths (Deluxe Version),Abandoned Flesh,3:41,3.0,undefined,never-rated
221,The Flaming Lips,Clouds Taste Metallic,The Abandoned Hospital Ship,3:39,,0,not-rated
222,LEYA,Flood Dream,ABBA,4:34,1.0,undefined,never-rated
223,The Pipettes,We Are The Pipettes,ABC,2:08,2.0,0,not-rated
224,Cults,Cults,Abducted,2:53,,0,not-rated
225,The Decemberists,The Hazards Of Love,The Abduction Of Margaret,2:07,,0,not-rated
226,Dryjacket,For Posterity,Abe LinkedIn,1:59,5.0,undefined,never-rated
227,the national,alligator,abel,3:38,,0,not-rated
228,The Mars Volta,The Bedlam In Goliath,Aberinkula,5:45,,0,not-rated
229,School Of Seven Bells,SVIIB,Ablaze,5:09,7.0,undefined,never-rated
230,Islands,Arm's Way,Abominable Snow,4:36,,0,not-rated
231,Mommy Long Legs,Try Your Best,Abortion,1:27,1.0,undefined,never-rated
232,Iron & Wine,Beast Epic,About a Bruise,3:11,1.0,undefined,never-rated
233,Grizzly Bear,Veckatimest,About Face,3:21,,0,not-rated
234,Yeule,Pathos,About Her,5:19,,undefined,never-rated
235,Bigger Better Sun,Comfort Foods,About Patterns,4:35,3.0,undefined,never-rated
236,Rilo Kiley and The Watson Twins,Rkives,About The Moon,3:09,4.0,0,not-rated
237,Dirty Projectors,Swing Lo Magellan,About To Die,3:59,,0,not-rated
238,Margo Price,Midwest Farmer's Daughter,About to Find Out,3:12,9.0,undefined,never-rated
239,Throw Me The Statue,Moonbeams,About To Walk,3:16,6.0,0,not-rated
240,The Jesus & Mary Chain,Darklands,About You,2:31,,0,not-rated
241,The Bravery,The Sun And The Moon,Above And Below,3:31,,0,not-rated
242,Emancipator,Baralku,Abracadabra,2:31,,undefined,never-rated
243,José González,In Our Nature,Abram,1:49,,0,not-rated
244,The Joy Formidable,Aaarth,Absence,3:29,1.0,undefined,never-rated
245,Rilo Kiley,More Adventurous,The Absence Of God,3:55,,0,not-rated
246,Guided By Voices,August By Cake,Absent the Man,1:36,2.0,undefined,never-rated
247,Sun Airway,Heraldic Black Cherry,Absolu,0:16,,undefined,never-rated
248,Yellow Magic Orchestra,Solid State Survivor,Absolute Ego Dance,4:37,1.0,undefined,never-rated
249,The Mountain Goats,All Hail West Texas,Absolute Lithops Effect,3:08,1.0,0,not-rated
250,Radiator Hospital,Play the Song You Like,Absolutely Positive,3:06,2.0,undefined,never-rated
251,Adventures,Supersonic Home,"Absolution, Warmth Requited",2:57,38.0,0,not-rated
252,King Gizzard & The Lizard Wizard,Fishing For Fishies,Acarine,5:24,5.0,undefined,never-rated
253,Deerhoof,The Magic,Acceptance Speech,3:00,,undefined,never-rated
254,Ava Luna,Moon 2,Accessible,2:57,1.0,undefined,never-rated
255,Mothers,When You Walk A Long Distance You Are Tired (Deluxe Edition),Accessory Cloud,4:29,5.0,undefined,never-rated
256,Jenny Hval,The Practice of Love,Accident (feat. Laura Jean),4:10,1.0,undefined,never-rated
257,Jawbreaker,Dear You,Accident Prone,6:13,,0,not-rated
258,Rilo Kiley,More Adventurous,Accidental Deth,4:26,,0,not-rated
259,Owen,Owen,Accidentally,6:17,5.0,0,not-rated
260,Rilo Kiley,More Adventurous (U.S. Release),Accidntel Deth,4:24,1.0,undefined,never-rated
261,Nothing,Tired of Tomorrow (Deluxe Version),A.C.D. (Abcessive Compulsive Disorder),3:39,,undefined,never-rated
262,Trevor Powers,Mulberry Violence,Ache,3:10,1.0,undefined,never-rated
263,Weakened Friends,Common Blah,Aches,3:21,2.0,undefined,never-rated
264,Posture & the Grizzly,I Am Satan,Acid Bomb,2:35,4.0,undefined,never-rated
265,Deftones,Gore,Acid Hologram,4:05,1.0,undefined,never-rated
266,Zt,What Are Stitches To A Tough Guy,Acid Test(Master2),3:14,,0,not-rated
267,Jenny Lewis,Acid Tongue,Acid Tongue,3:50,,0,not-rated
268,Fanafarlo,Reservoir Bonus Disc,Acoemeti,1:31,,0,not-rated
269,The Dodos,Time To Die,Acorn Factory,4:03,,0,not-rated
270,King Gizzard & The Lizard Wizard,Murder Of The Universe,The Acrid Corpse,1:00,1.0,undefined,never-rated
271,Electric Light Orchestra,Out Of The Blue,Across The Border,3:54,,0,not-rated
272,Dent May,Across The Multiverse,Across The Multiverse (feat. Frankie Cosmos),3:04,1.0,undefined,never-rated
273,Weezer,Pinkerton,Across The Sea,4:32,,undefined,never-rated
274,Why?,Elephant Eyelash,Act Five,3:20,4.0,0,not-rated
275,Belle and Sebastian,The Life Pursuit,Act Of The Apostle,2:56,,0,not-rated
276,Belle and Sebastian,The Life Pursuit,Act Of The Apostle II,4:21,1.0,0,not-rated
277,We Were Promised Jetpacks,In The Pit Of The Stomach,Act On Impulse,5:30,,0,not-rated
278,Sebadoh,Act Surprised,act surprised,3:11,,undefined,never-rated
279,Superchunk,Here's To Shutting Up,Act Surprised,3:58,,0,not-rated
280,Ariel Pink,Dedicated To Bobby Jameson,Acting (feat. DāM-FunK),4:31,3.0,undefined,never-rated
281,The Get Up Kids,Something To Write Home About,Action And Action,4:06,2.0,0,not-rated
282,Pissed Jeans,Why Love Now,Activia,4:27,2.0,undefined,never-rated
283,Sun Airway,Nocturne Of Exploded Crystal Chandelier,Actors,3:36,,0,not-rated
284,Midlake,The Courage Of Others,Acts Of Man,2:58,,0,not-rated
285,The National,Boxer,Ada,4:04,,0,not-rated
286,The Body,No One Deserves Happiness,Adamah,3:59,,undefined,never-rated
287,Clap Your Hands Say Yeah,Hysterical,Adam's Plane,7:19,,0,not-rated
288,Katie Ellen,Still Life,Adaptation of Para Todos,5:45,7.0,undefined,never-rated
289,Violent Femmes,Violent Femmes,Add It Up,4:43,,0,not-rated
290,The Coathangers,Suck My Shirt,Adderall,3:42,1.0,0,not-rated
291,Lizzy Farrall,Bruise,Addict,3:12,1.0,undefined,never-rated
292,Turnstile,Nonstop Feeling,Addicted,1:13,3.0,undefined,never-rated
293,Hemlock Ernst,Back At The House,Addicted Youth,3:47,,undefined,never-rated
294,Lucy Dacus,Historian,Addictions,3:24,4.0,undefined,never-rated
295,Sneaks,Highway Hypnosis,Addis,1:38,,undefined,never-rated
296,Grizzly Bear,Shields,Adelma,1:03,,0,not-rated
297,Sun Kil Moon,Admiral Fell Promises,Admiral Fell Promises,3:51,,0,not-rated
298,Twerps,Range Anxiety,Adrenaline,3:12,,0,not-rated
299,Japandroids,Celebration Rock,Adrenaline Nightshift,4:26,1.0,0,not-rated
300,Kississippi,Sunset Blush,Adrift,3:49,1.0,undefined,never-rated
301,Into It. Over It.,Standards,Adult Contempt,3:36,2.0,undefined,never-rated
302,Alvvays,Alvvays,Adult Diversion,3:27,,0,not-rated
303,School of Language,45,Adult in the Room,2:48,1.0,undefined,never-rated
304,Pkew Pkew Pkew,Optimal Lifestyles,Adult Party,2:57,,undefined,never-rated
305,Beach Bunny,Prom Queen,Adulting,3:49,5.0,undefined,never-rated
306,Perfect Pussy,Say Yes to Love,Advance Upon the Real,5:03,,0,not-rated
307,"Football, etc.",Corner,Advantage,2:52,,undefined,never-rated
308,Be Your Own Pet,Be Your Own Pet,Adventure,2:33,3.0,0,not-rated
309,The Greatest Bits,Kingdom Hearts,An Adventure In Atlantica,2:09,1.0,undefined,never-rated
310,The New Pornographers,Challengers,Adventures In Solitude,4:16,,0,not-rated
311,Wood Spider,Fourteen Songs,Adverse Effects,1:55,2.0,0,not-rated
312,Super Whatevr,Never Nothing,Advice,0:44,,undefined,never-rated
313,Tears For Fears,Shout: The Very Best Of Tears For Fears,Advice For The Young At Heart,4:44,,0,not-rated
314,Freelance Whales,Diluvia,Aeolus,3:37,2.0,0,not-rated
315,Antony and The Johnsons,The Crying Light,Aeon,4:34,,0,not-rated
316,Nirvana,Incesticide,Aero Zeppelin,4:42,,0,not-rated
317,Daft Punk,Discovery,Aerodynamic,3:33,2.0,0,not-rated
318,Jessica Pratt,Quiet Signs,Aeroplane,3:35,,undefined,never-rated
319,Crystal Castles,(III),Affection,2:37,1.0,0,not-rated
320,Neko Case,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You [Deluxe Edition]",Afraid,2:21,,0,not-rated
321,"Bonnie ""Prince"" Billy",Beware,Afraid Ain't Me,4:49,,0,not-rated
322,The National,High Violet,Afraid Of Everyone,4:19,,0,not-rated
323,Sharon Van Etten,Are We There,Afraid of Nothing,4:05,,0,not-rated
324,Delicate Steve,Positive Force,Afria Talks To You,3:00,,0,not-rated
325,Weezer,Weezer (Teal Album),Africa,3:58,,1,thumbs-down
326,Junip,Junip,After All Is Said And Done,5:41,,0,not-rated
327,Daniel Avery,Slow Fade EP,After Dark,4:34,2.0,undefined,never-rated
328,The Sufis,After Hours,After Hours,2:23,4.0,undefined,never-rated
